einrichtung,email,status
Pro Seniore Residenz Kurfuerstendamm,berlin.kurfuerstendamm@pro-seniore.com,bestaetigt
Pro Seniore Residenz Wasserstadt,berlin.wasserstadt@pro-seniore.com,bestaetigt
Pro Seniore Residenz Am Maerchenbrunnen,berlin.maerchenbrunnen@pro-seniore.com,bestaetigt
Pro Seniore Residenz Rosenthal,berlin.rosenthal@pro-seniore.com,muster
Kursana Domizil Berlin-Marzahn,kursanamarzahn@dussmann.de,bestaetigt
Kursana Domizil Berlin-Lichtenberg,kursanalichtenberg@dussmann.de,bestaetigt
Kursana Domizil Berlin-Landsberger Tor,kursanalandsbergertor@dussmann.de,muster
DRK Pflege & Wohnen Mariendorf,info@drk-kliniken-mariendorf.de,bestaetigt
DRK Seniorenzentrum Villa Albrecht,villa-albrecht@drk-berlin.de,bestaetigt
DOMICIL Seniorenpflegeheim Fuerstenstrasse,info@domicil-fuerstenstrasse.de,muster
DOMICIL Am Schlosspark,info@domicil-amschlosspark.de,bestaetigt
DOMICIL Am Frankfurter Tor,info@domicil-amfrankfurtertor.de,bestaetigt
DOMICIL Kueterstrasse,info@domicil-kueterstrasse.de,bestaetigt
DOMICIL Residenzstrasse,info@domicil-residenzstrasse.de,muster
DOMICIL Amendestrasse,info@domicil-amendestrasse.de,muster
DOMICIL Gotlindestrasse,info@domicil-gotlindestrasse.de,bestaetigt
Alloheim Senioren-Residenz Schwyzer Strasse,berlin-schwyzer-strasse@alloheim.de,bestaetigt
Alloheim Senioren-Residenz Hildburghauser Strasse,berlin-hildburghauser-strasse@alloheim.de,muster
Alloheim Senioren-Residenz Ullsteinstrasse,berlin-ullsteinstrasse@alloheim.de,bestaetigt
Alloheim Senioren-Residenz Lichterfelde,berlin-lichterfelde@alloheim.de,muster
Stephanus Haus Mueggelspree,sz-mueggelspree@stephanus.org,muster
Stephanus Seniorenzentrum Ulmenhof,sz-ulmenhof@stephanus.org,bestaetigt
Stephanus Seniorenzentrum am Buergerpark,sz-buergerpark@stephanus.org,muster
Unionhilfswerk Pflegewohnheim Am Kreuzberg,pwh.amkreuzberg@unionhilfswerk.de,muster
Unionhilfswerk Pflegewohnheim Stallschreiberstrasse,dialog@unionhilfswerk.de,zentral
Unionhilfswerk Pflegewohnheim Alt-Treptow,pwh.alttreptow@unionhilfswerk.de,bestaetigt
AWO-Seniorenwohnhaeuser (Marie-Juchacz & Anna-Nemitz),info@awo-pflegenetz.de,zentral
Korian Haus Spreetalhof,berlin-altglienicke@korian.de,muster
Korian Seniorenhaus am Kienhorstpark,berlin-reinickendorf@korian.de,muster
Korian Seniorenheim Gartenstadt,berlin-rudow@korian.de,muster
Korian Pflegeeinrichtung am Weigandufer,berlin-rixdorf@korian.de,bestaetigt
Korian Haus am Wiesengrund,berlin-staaken@korian.de,muster
ProCurand Seniorenresidenz Havelpalais,havelpalais@procurand.de,bestaetigt
Korian Haus Angerhof,glienicke-nordbahn@korian.de,muster
Korian Haus Fontanehof,ludwigsfelde@korian.de,muster
