sku,item_name,brand_name,product_category,trade,unit,ean,quantity
PHT-6JR0Y9,"Wickelfalzrohr verzinkt — DN 80 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-0DARMJ,Wickelfalzrohr verzinkt — DN 80 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-Z3WN7C,Wickelfalzrohr verzinkt — DN 80 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-MNWV7A,"Wickelfalzrohr verzinkt — DN 100 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-R6E7M8,Wickelfalzrohr verzinkt — DN 100 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-PWMNTN,Wickelfalzrohr verzinkt — DN 100 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-LJGV45,"Wickelfalzrohr verzinkt — DN 112 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-6EKRLU,Wickelfalzrohr verzinkt — DN 112 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-82UXMC,Wickelfalzrohr verzinkt — DN 112 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-U9U8UH,"Wickelfalzrohr verzinkt — DN 125 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-CLGKL8,Wickelfalzrohr verzinkt — DN 125 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-E9HUY6,Wickelfalzrohr verzinkt — DN 125 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-QCMKGA,"Wickelfalzrohr verzinkt — DN 140 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-9JM3HU,Wickelfalzrohr verzinkt — DN 140 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-AUAL1W,Wickelfalzrohr verzinkt — DN 140 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-EKMMEN,"Wickelfalzrohr verzinkt — DN 150 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-5DMCH7,Wickelfalzrohr verzinkt — DN 150 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-3RRUVZ,Wickelfalzrohr verzinkt — DN 150 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-9RQNA3,"Wickelfalzrohr verzinkt — DN 160 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-LCQVE4,Wickelfalzrohr verzinkt — DN 160 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-K24PEE,Wickelfalzrohr verzinkt — DN 160 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-SM73Y5,"Wickelfalzrohr verzinkt — DN 180 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-SH6G7Q,Wickelfalzrohr verzinkt — DN 180 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-QU1Z16,Wickelfalzrohr verzinkt — DN 180 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-F78SZJ,"Wickelfalzrohr verzinkt — DN 200 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-WM36A9,Wickelfalzrohr verzinkt — DN 200 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-VBT6VM,Wickelfalzrohr verzinkt — DN 200 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-AK08WB,"Wickelfalzrohr verzinkt — DN 224 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-240L9X,Wickelfalzrohr verzinkt — DN 224 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-0F0707,Wickelfalzrohr verzinkt — DN 224 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-N44ZYA,"Wickelfalzrohr verzinkt — DN 250 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-GSFP0W,Wickelfalzrohr verzinkt — DN 250 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-F43CXS,Wickelfalzrohr verzinkt — DN 250 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-PFFHHT,"Wickelfalzrohr verzinkt — DN 280 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-7PPBP3,Wickelfalzrohr verzinkt — DN 280 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-612879,Wickelfalzrohr verzinkt — DN 280 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-BDRDBZ,"Wickelfalzrohr verzinkt — DN 300 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-PX1Q51,Wickelfalzrohr verzinkt — DN 300 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-R7M73P,Wickelfalzrohr verzinkt — DN 300 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-M50MJX,"Wickelfalzrohr verzinkt — DN 315 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-BKLDAC,Wickelfalzrohr verzinkt — DN 315 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-A9DS6A,Wickelfalzrohr verzinkt — DN 315 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-GTMSY5,"Wickelfalzrohr verzinkt — DN 355 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-QMH9QU,Wickelfalzrohr verzinkt — DN 355 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-RXM1QE,Wickelfalzrohr verzinkt — DN 355 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-5ATB5W,"Wickelfalzrohr verzinkt — DN 400 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-RVCCHQ,Wickelfalzrohr verzinkt — DN 400 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-THALHN,Wickelfalzrohr verzinkt — DN 400 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-A16KLS,"Wickelfalzrohr verzinkt — DN 450 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-HVED5P,Wickelfalzrohr verzinkt — DN 450 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-K54N9D,Wickelfalzrohr verzinkt — DN 450 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-MAMZ1M,"Wickelfalzrohr verzinkt — DN 500 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-URJ3NC,Wickelfalzrohr verzinkt — DN 500 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-T2GXT4,Wickelfalzrohr verzinkt — DN 500 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-9D2A96,"Wickelfalzrohr verzinkt — DN 560 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-P64LNJ,Wickelfalzrohr verzinkt — DN 560 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-MHW03N,Wickelfalzrohr verzinkt — DN 560 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-BP73LN,"Wickelfalzrohr verzinkt — DN 630 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-QV6UGJ,Wickelfalzrohr verzinkt — DN 630 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-PKH8DW,Wickelfalzrohr verzinkt — DN 630 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-DD8FBS,"Wickelfalzrohr verzinkt — DN 710 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-0U64WW,Wickelfalzrohr verzinkt — DN 710 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-ZJV296,Wickelfalzrohr verzinkt — DN 710 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-753D0H,"Wickelfalzrohr verzinkt — DN 800 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-ZZQVJC,Wickelfalzrohr verzinkt — DN 800 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-1NVJ3G,Wickelfalzrohr verzinkt — DN 800 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-NDTEF4,"Wickelfalzrohr verzinkt — DN 900 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-YF8QWW,Wickelfalzrohr verzinkt — DN 900 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-WTD58U,Wickelfalzrohr verzinkt — DN 900 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-XGACTJ,"Wickelfalzrohr verzinkt — DN 1000 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-5QX48S,Wickelfalzrohr verzinkt — DN 1000 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-42MSXJ,Wickelfalzrohr verzinkt — DN 1000 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-8AYSC6,"Wickelfalzrohr verzinkt — DN 1120 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-8AZW9Q,Wickelfalzrohr verzinkt — DN 1120 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-6P4R12,Wickelfalzrohr verzinkt — DN 1120 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-GB5XY1,"Wickelfalzrohr verzinkt — DN 1250 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-QB9FJ8,Wickelfalzrohr verzinkt — DN 1250 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-RMF8BL,Wickelfalzrohr verzinkt — DN 1250 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-3ZQE5F,"Wickelfalzrohr Edelstahl — DN 80 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-05VEGN,Wickelfalzrohr Edelstahl — DN 80 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-1UHSQL,Wickelfalzrohr Edelstahl — DN 80 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-8UD5N1,"Wickelfalzrohr Edelstahl — DN 100 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-VWEXRK,Wickelfalzrohr Edelstahl — DN 100 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-UL7ZRM,Wickelfalzrohr Edelstahl — DN 100 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-XJ5BNL,"Wickelfalzrohr Edelstahl — DN 112 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-PPVF5H,Wickelfalzrohr Edelstahl — DN 112 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-RCGGW1,Wickelfalzrohr Edelstahl — DN 112 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-6PDDC8,"Wickelfalzrohr Edelstahl — DN 125 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-7054A7,Wickelfalzrohr Edelstahl — DN 125 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-8N065X,Wickelfalzrohr Edelstahl — DN 125 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-4PB10X,"Wickelfalzrohr Edelstahl — DN 140 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-LYCXGZ,Wickelfalzrohr Edelstahl — DN 140 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-N8FYET,Wickelfalzrohr Edelstahl — DN 140 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-1Z0TFH,"Wickelfalzrohr Edelstahl — DN 150 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-HHWPHY,Wickelfalzrohr Edelstahl — DN 150 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-FUVSB6,Wickelfalzrohr Edelstahl — DN 150 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-PVD8Q2,"Wickelfalzrohr Edelstahl — DN 160 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-E03299,Wickelfalzrohr Edelstahl — DN 160 × 3 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-CQPYJD,Wickelfalzrohr Edelstahl — DN 160 × 5 m,Profihaustechnik,Rohre & Kanäle,lueftung,St,,
PHT-8BTMM6,"Wickelfalzrohr Edelstahl — DN 180 × 1,5 m",Profihaustechnik,Rohre & Kanäle,lueftung,St,,
